3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
366307 !20 [   npyshop 653]	ofset [0, 0]
366964 !20 [   npyshop 176]	open
366964 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
367123 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LA.png
367226 !20 [ nphistory  37]	undo: ['load'] redo: []
367226 !20 [   npyshop 627]	(2643, 1714, 3)
367226 !20 [   npyshop 628]	3
367306 !20 [   npyshop 653]	ofset [0, 0]
367955 !20 [   npyshop 176]	open
367955 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
368272 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Au-LB1.png
368373 !20 [ nphistory  37]	undo: ['load'] redo: []
368374 !20 [   npyshop 627]	(2643, 1714, 3)
368374 !20 [   npyshop 628]	3
368502 !20 [   npyshop 653]	ofset [0, 0]
368850 !20 [   npyshop 176]	open
368850 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
368982 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LA.png
369085 !20 [ nphistory  37]	undo: ['load'] redo: []
369086 !20 [   npyshop 627]	(2643, 1714, 3)
369086 !20 [   npyshop 628]	3
369160 !20 [   npyshop 653]	ofset [0, 0]
369650 !20 [   npyshop 176]	open
369650 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ba-LB2.png
